00014ffd	fWindSpeedInKmPerHour
0660e8f3	PMSRestrictionSettings
06648be4	fNewInSightMultiplier
0667c6ef	Navigation
066a752e	fUndersteerMinFrontLatSlip
06734b29	locidMultipleDeliveryDestinationObjectiveDescriptionTextOverride
06766b18	selAnimationIntentionType
0677a8c0	colorPingColor
0678ceaa	OtherMaterialsRange
067d1726	sndWipeCondemned
06846df2	fLineDisplayDurationOnHardLock
06865479	bReflectorUseDistanceFalloff
0689c101	vec2FollowYawLagRangeCurve
068beea1	NakedBodyItemMandatorySelectionTags
068cad71	censusactormemorydefinitionMemoryToApplyOnFighterLose
068ded6d	fHealthValueOnInjuredState
06923179	fileNormal
0692cae8	logmatFleshSurfaceID
069971d7	degangvecAngleOffset
06999c85	phonecommunicationsettingsIllegalPickup
069bff6d	locstridFeedbackTimeUpLocId
06a874de	fMaxBrakeForTraffic
06ab7b10	OperativeDescriptor
06b04b21	BoneOffsets
06b22916	censusattendancedefinitionAttendanceDefinitionForActorArrest
06b30d4f	selAiState
06c1a9ac	LoadoutParamsMain
06c54f2a	sPlayerGunBarkId
06c72e2c	uiGiftServerLifetimeDays
06cbb80c	aiwsAIWorkspace
06ccd435	Rights
06cf1925	sndHackingProfileSoundId
06d01cdb	mapicondescTalker
06d3fb81	RobotConfigs
06d7fab3	bBarkValidateLKPUseConeOfVision
06dc1cfa	fPeriod
06decaaf	ThreatDetection
06e35a51	uimenupageInGameMenuDefaultPage
06e462bb	fDefaultValue
06e4a334	colorLaserBeam
06e8b11d	selLandingDockSize
06ec1726	EntityDurations
06f200a7	fRoadAvoidanceElevation
06f387b3	locstridTargetNearbyNotificationText
06f97f04	Followers
06fae70c	iDenunciatorProbability
06faf611	fMaxCarEjectSpeed
070017f3	fReachLocationActivityRange
070286be	locstridArenaSubtitleAbandonLocId
0702c453	fClosedCaptionsShowPeriod
0704b10a	fUTurnTargetAheadMinTime
07051165	PlayerWeaponModels
070f722d	fWalkerMinSpeed
07109205	Old
0711b40e	fCoverSlideMaxCoverAngleDiff
071777c1	locstridDoubleObjectiveDisplayEscapeObjectiveLocId
0718f549	sndArmingProximitySound
071a0d8b	bUseAllTagsFromCategory
071b43b2	curveSunColorHackIntensity
072367a3	sndauxbusAuxiliaryBus
072a19dc	bSelectCivilianAsDeliveringEntity
072d75fd	bLockAdvancedCameraMode
072fb6fc	turretidlemovementsettingsMovementSettings
0730e544	fLayerRenderingOrder
07342ddb	fDistortionStrength
0734e707	NitroBatteryConsumption
07357dfb	bEnableDestructionOnImpact
07361e31	texturedbobjectPuppet
0736bac6	ObjectiveRelationSummarySelection
0739b467	fDisplayTime
073b7427	QualificationFilter
073c48d6	sndswvlSoundSwitchExtraSmallObject
0745d5e1	cinemaResource
07548521	filePlasmaMADResource
07591362	DistrictTimeScale
075dd35d	BehaviorAnalysisTitles
075ffb22	fFlankLowAngle
07601b08	sndtpHackingPoliceSearchSoundType
0761118b	sBollardTakedownBoneName
0761aed7	StreakBarkId
07673a5a	SeeGrenade
076b60e4	fLookAtValidLKPDelayMax
076f9362	fileSingleAnimation
07767756	fAmbientIntensity
078008ce	fHackLockLineFadeSpeed
0785b9df	fCollisionPitchFactor
0787c98d	locstridLockedByVrPuzzleWarningMessage
07880910	fFrontWheeliePitchHelperMinAngle
0788b675	curveTurbulenceIntensity
078a4f54	locstridFailLocIdPlayerDeath
